user_id,total_posts,avg_sentiment_score,total_engagement,favorite_platform,engagement_per_post,user_segment
user_050,1,1.0,4390,Facebook,4390.0,Top Influencer
user_015,1,1.0,3980,Twitter,3980.0,Top Influencer
user_004,2,1.0,3670,Twitter,1835.0,Top Influencer
user_046,1,1.0,3470,Instagram,3470.0,Top Influencer
user_030,1,1.0,2660,Twitter,2660.0,Top Influencer
user_001,2,1.0,2110,Twitter,1055.0,Top Influencer
user_018,1,1.0,2080,Twitter,2080.0,Top Influencer
user_040,1,1.0,2060,Instagram,2060.0,Top Influencer
user_010,1,1.0,1920,Instagram,1920.0,Top Influencer
user_084,1,1.0,1740,Twitter,1740.0,Top Influencer
user_042,1,1.0,1670,Twitter,1670.0,Top Influencer
user_034,1,1.0,1620,Instagram,1620.0,Top Influencer
user_132,1,1.0,1620,Twitter,1620.0,Top Influencer
user_224,1,1.0,1620,Facebook,1620.0,Top Influencer
user_022,1,1.0,1570,Instagram,1570.0,Top Influencer
user_112,1,1.0,1570,Instagram,1570.0,Top Influencer
user_204,1,1.0,1570,Twitter,1570.0,Top Influencer
user_064,1,1.0,1560,Instagram,1560.0,Top Influencer
user_096,1,1.0,1470,Twitter,1470.0,Top Influencer
user_148,1,1.0,1470,Instagram,1470.0,Top Influencer
user_240,1,1.0,1470,Twitter,1470.0,Top Influencer
user_052,1,1.0,1430,Instagram,1430.0,Top Influencer
user_120,1,1.0,1430,Twitter,1430.0,Top Influencer
user_172,1,1.0,1420,Instagram,1420.0,Top Influencer
user_212,1,1.0,1420,Facebook,1420.0,Top Influencer
user_264,1,1.0,1420,Twitter,1420.0,Top Influencer
user_136,1,1.0,1370,Instagram,1370.0,Top Influencer
user_180,1,1.0,1370,Twitter,1370.0,Top Influencer
user_272,1,1.0,1370,Facebook,1370.0,Top Influencer
user_228,1,1.0,1360,Twitter,1360.0,Top Influencer
user_005,2,0.0,1315,Instagram,657.5,Top Influencer
user_076,1,1.0,1310,Instagram,1310.0,Top Influencer
user_156,1,1.0,1310,Twitter,1310.0,Top Influencer
user_248,1,1.0,1310,Facebook,1310.0,Top Influencer
user_100,1,1.0,1270,Instagram,1270.0,Top Influencer
user_192,1,1.0,1260,Twitter,1260.0,Top Influencer
user_284,1,1.0,1260,Facebook,1260.0,Top Influencer
user_124,1,1.0,1220,Instagram,1220.0,Top Influencer
user_184,1,1.0,1220,Instagram,1220.0,Top Influencer
user_216,1,1.0,1220,Twitter,1220.0,Top Influencer
user_276,1,1.0,1220,Twitter,1220.0,Top Influencer
user_036,1,1.0,1210,Twitter,1210.0,Top Influencer
user_011,1,1.0,1200,Twitter,1200.0,Top Influencer
user_160,1,1.0,1160,Instagram,1160.0,Active Contributor
user_252,1,1.0,1160,Twitter,1160.0,Active Contributor
user_088,1,1.0,1150,Instagram,1150.0,Active Contributor
user_058,1,1.0,1120,Instagram,1120.0,Active Contributor
user_106,1,1.0,1110,Instagram,1110.0,Active Contributor
user_152,1,1.0,1110,Facebook,1110.0,Active Contributor
user_198,1,1.0,1110,Twitter,1110.0,Active Contributor
user_244,1,1.0,1110,Instagram,1110.0,Active Contributor
user_290,1,1.0,1110,Facebook,1110.0,Active Contributor
user_024,1,1.0,1100,Twitter,1100.0,Active Contributor
user_092,1,1.0,1070,Facebook,1070.0,Active Contributor
user_068,1,1.0,1060,Facebook,1060.0,Active Contributor
user_116,1,1.0,1060,Facebook,1060.0,Active Contributor
user_166,1,1.0,1060,Instagram,1060.0,Active Contributor
user_208,1,1.0,1060,Instagram,1060.0,Active Contributor
user_258,1,1.0,1060,Twitter,1060.0,Active Contributor
user_140,1,1.0,1020,Facebook,1020.0,Active Contributor
user_232,1,1.0,1020,Instagram,1020.0,Active Contributor
user_188,1,1.0,1010,Facebook,1010.0,Active Contributor
user_280,1,1.0,1010,Instagram,1010.0,Active Contributor
user_078,1,1.0,970,Twitter,970.0,Active Contributor
user_104,1,1.0,970,Facebook,970.0,Active Contributor
user_164,1,1.0,970,Facebook,970.0,Active Contributor
user_256,1,1.0,970,Instagram,970.0,Active Contributor
user_128,1,1.0,960,Facebook,960.0,Active Contributor
user_196,1,1.0,960,Instagram,960.0,Active Contributor
user_220,1,1.0,960,Instagram,960.0,Active Contributor
user_288,1,1.0,960,Twitter,960.0,Active Contributor
user_110,1,1.0,920,Facebook,920.0,Active Contributor
user_086,1,1.0,910,Facebook,910.0,Active Contributor
user_138,1,1.0,910,Twitter,910.0,Active Contributor
user_176,1,1.0,910,Facebook,910.0,Active Contributor
user_202,1,1.0,910,Instagram,910.0,Active Contributor
user_230,1,1.0,910,Facebook,910.0,Active Contributor
user_268,1,1.0,910,Instagram,910.0,Active Contributor
user_294,1,1.0,910,Twitter,910.0,Active Contributor
user_056,1,1.0,900,Facebook,900.0,Active Contributor
user_070,1,1.0,890,Instagram,890.0,Active Contributor
user_154,1,1.0,885,Instagram,885.0,Active Contributor
user_246,1,1.0,885,Twitter,885.0,Active Contributor
user_094,1,1.0,860,Instagram,860.0,Active Contributor
user_118,1,1.0,860,Instagram,860.0,Active Contributor
user_186,1,1.0,860,Twitter,860.0,Active Contributor
user_210,1,1.0,860,Twitter,860.0,Active Contributor
user_278,1,1.0,860,Facebook,860.0,Active Contributor
user_028,1,1.0,850,Instagram,850.0,Active Contributor
user_144,1,1.0,835,Twitter,835.0,Active Contributor
user_236,1,1.0,835,Facebook,835.0,Active Contributor
user_102,1,1.0,810,Twitter,810.0,Active Contributor
user_130,1,1.0,810,Instagram,810.0,Active Contributor
user_170,1,1.0,810,Facebook,810.0,Active Contributor
