post_id,user_id,platform,sentiment,content,hashtags,retweets,likes,country,timestamp,created_year,created_month,created_day,created_hour,total_engagement,engagement_score,sentiment_score,is_peak_hour
1,user_001,Twitter,Positive,Great product! Loving the new features,#tech #innovation,120,450,USA,2024-01-15 09:30:00,2024,1,15,9,570,0.12984054669703873,1,1
2,user_002,Instagram,Negative,Service was terrible today,#disappointed #badservice,5,12,UK,2024-01-15 14:15:00,2024,1,15,14,17,0.0038724373576309794,-1,1
3,user_003,Facebook,Neutral,Just sharing some updates,#news,45,89,Canada,2024-01-16 11:45:00,2024,1,16,11,134,0.03052391799544419,0,1
4,user_004,Twitter,Positive,Amazing customer support!,#happy #satisfied,230,780,USA,2024-01-16 16:30:00,2024,1,16,16,1010,0.23006833712984054,1,1
5,user_005,Instagram,Negative,Product stopped working after 2 days,#frustrated #broken,15,30,Australia,2024-01-17 10:00:00,2024,1,17,10,45,0.010250569476082005,-1,1
6,user_001,Twitter,Positive,Best purchase this year,#recommended #loveit,340,1200,USA,2024-01-17 19:45:00,2024,1,17,19,1540,0.35079726651480636,1,0
7,user_006,Facebook,Neutral,Checking out the new collection,#shopping,67,134,UK,2024-01-18 13:20:00,2024,1,18,13,201,0.04578587699316629,0,1
8,user_007,Instagram,Positive,Beautiful design and functionality,#design #quality,180,560,Canada,2024-01-18 15:10:00,2024,1,18,15,740,0.16856492027334852,1,1
9,user_002,Twitter,Negative,Shipping delays are unacceptable,#late #disappointed,25,48,UK,2024-01-19 08:30:00,2024,1,19,8,73,0.01662870159453303,-1,0
10,user_008,Facebook,Positive,Exceeded my expectations,#excellent #value,95,310,Australia,2024-01-19 20:00:00,2024,1,19,20,405,0.09225512528473805,1,0
11,user_009,Twitter,Neutral,"Regular product, nothing special",#average,12,35,USA,2024-01-20 12:00:00,2024,1,20,12,47,0.01070615034168565,0,1
12,user_010,Instagram,Positive,Would buy again in a heartbeat,#repeatcustomer,420,1500,Canada,2024-01-20 17:45:00,2024,1,20,17,1920,0.43735763097949887,1,1
13,user_003,Facebook,Negative,Customer service needs improvement,#needsimprovement,8,19,USA,2024-01-21 09:15:00,2024,1,21,9,27,0.0061503416856492025,-1,1
14,user_011,Twitter,Positive,Fast delivery and great quality,#fastshipping #quality,310,890,Australia,2024-01-21 14:30:00,2024,1,21,14,1200,0.2733485193621868,1,1
15,user_012,Instagram,Neutral,Product photos vs reality,#review,55,120,UK,2024-01-22 11:00:00,2024,1,22,11,175,0.03986332574031891,0,1
16,user_004,Twitter,Positive,Game changer for my business,#business #tools,560,2100,USA,2024-01-22 18:20:00,2024,1,22,18,2660,0.6059225512528473,1,0
17,user_013,Facebook,Negative,Overpriced for what you get,#overpriced,18,42,Canada,2024-01-23 10:45:00,2024,1,23,10,60,0.01366742596810934,-1,1
18,user_005,Instagram,Positive,Perfect for beginners and experts,#easyuse,290,980,Australia,2024-01-23 16:15:00,2024,1,23,16,1270,0.28929384965831434,1,1
19,user_014,Twitter,Neutral,"Standard features, does the job",#standard,33,78,UK,2024-01-24 13:50:00,2024,1,24,13,111,0.02528473804100228,0,1
20,user_006,Facebook,Positive,Best investment I've made,#investment #worthit,120,450,USA,2024-01-24 21:00:00,2024,1,24,21,570,0.12984054669703873,1,0
21,user_015,Twitter,Positive,Life changing product!,#lifechanging,780,3200,USA,2024-01-25 08:15:00,2024,1,25,8,3980,0.9066059225512528,1,0
22,user_016,Instagram,Negative,Worst customer experience,#terrible,3,7,UK,2024-01-25 12:45:00,2024,1,25,12,10,0.002277904328018223,-1,1
23,user_017,Facebook,Neutral,Just unboxed my new purchase,#unboxing,45,92,Canada,2024-01-25 16:30:00,2024,1,25,16,137,0.03120728929384966,0,1
24,user_018,Twitter,Positive,Five stars! Highly recommend,#fivestars #recommend,430,1650,Australia,2024-01-26 10:00:00,2024,1,26,10,2080,0.47380410022779046,1,1
25,user_019,Instagram,Negative,Broken on arrival,#broken #refund,22,45,USA,2024-01-26 14:20:00,2024,1,26,14,67,0.015261958997722095,-1,1
26,user_020,Facebook,Positive,Better than advertised,#exceededexpectations,150,580,UK,2024-01-26 19:45:00,2024,1,26,19,730,0.1662870159453303,1,0
27,user_021,Twitter,Neutral,"It's okay, not great",#okay,18,42,Canada,2024-01-27 11:30:00,2024,1,27,11,60,0.01366742596810934,0,1
28,user_022,Instagram,Positive,Worth every penny,#worthit #value,320,1250,Australia,2024-01-27 15:45:00,2024,1,27,15,1570,0.357630979498861,1,1
29,user_023,Facebook,Negative,Never buying again,#neveragain,9,21,USA,2024-01-28 09:15:00,2024,1,28,9,30,0.00683371298405467,-1,1
30,user_024,Twitter,Positive,Simple and effective,#simple #effective,210,890,UK,2024-01-28 13:00:00,2024,1,28,13,1100,0.2505694760820046,1,1
